StationID,NHDcomid,Qbf_ma_m3_div_s,w_ma_m,d_ma_m,a_coeff,b_coeff,c_coeff,f_coeff
3255349,3404925,0.618222582,13.00002061,0.518694412,11.96634411,0.163903718,0.409814445,0.466096282
3259757,3405231,0.064122653,4.988563391,0.252560572,6.242966768,0.178033885,0.452003126,0.461966115
3259813,3405231,0.064122653,4.988563391,0.252560572,6.242966768,0.178033885,0.452003126,0.461966115
3289200,1825492,0.378699378,10.56762902,0.443928995,10.00753293,0.16679079,0.381620384,0.46320921
3293510,10163868,0.673636256,13.48036379,0.533029598,11.67096907,0.168553658,0.353150378,0.481446342
3321500,11617279,233.4041263,159.647482,3.414417443,108.7480652,0.064254143,0.139010469,0.535745857
3339000,10080962,24.64548675,61.72689592,1.671998084,40.83283055,0.116763097,0.324519184,0.463236903
3346500,10339414,49.82979377,83.12047635,2.090922475,53.88875871,0.104735,0.292605151,0.475265
3353420,18476787,0.064490381,5.000635405,0.253019656,6.372871211,0.178010343,0.474749842,0.461989657
3430200,18401497,16.42724411,52.00087513,1.469893837,31.39195635,0.133032123,0.22307442,0.496967877
3432350,18393858,2.627007992,23.96170457,0.821212373,16.63392301,0.172826616,0.264082734,0.537173384
3432400,18393756,2.988428935,25.30344797,0.855528304,17.07804777,0.176391468,0.249091244,0.553608532
3512000,19730510,2.635924257,27.16226526,0.960844392,20.93244162,0.095476014,0.263212942,0.474523986
3597860,19533702,7.133356841,42.1474167,1.322221641,35.00912331,0.059601619,0.238280585,0.550398381
3612600,1841415,9330.750923,365.4847022,11.01607432,6.962834086,0.436784104,4.730824305,0.093215896
40871488,12164306,0.11404419,6.109742819,0.329523077,7.614570615,0.18149901,0.567777172,0.44850099
4087170,12162694,21.6130219,60.97394945,1.892178133,51.01100636,0.059679868,0.3762547,0.540320132
4119400,9005833,194.8183428,81.57786559,3.937394929,18.12612819,0.307534632,0.988994777,0.282465368
41482663,13019635,0.187571137,7.60002889,0.388958885,9.026125727,0.170238723,0.606503329,0.439761277
4157005,13204437,226.6119382,86.25542275,4.140848253,19.51976628,0.310457761,1.086520576,0.279542239
4168400,10850162,1.400938046,18.36033134,0.760212704,16.65376537,0.142513423,0.548254591,0.477486577
4213152,9840538,0.480396071,11.48102317,0.532136983,10.33109912,0.153468716,0.394140965,0.436531284
5406479,13633821,0.216013272,6.486128633,0.355064722,6.997954508,0.166464883,0.442712291,0.483535117
5420500,14809371,4905.485191,235.3553339,5.297314454,28.57020727,0.287170001,0.827481734,0.252829999
5446500,10608846,329.0756202,141.9174265,2.557967254,104.7192893,0.056314883,0.151465034,0.523685117
5447500,10969489,20.07549039,43.71638818,1.203986149,30.40741803,0.116999989,0.237600089,0.523000011
5518000,13438397,40.59094399,58.80017949,1.455483221,40.28051476,0.094407718,0.216473654,0.475592282
5524500,13454468,7.472315077,28.83599847,0.922515291,20.93790485,0.126185751,0.263636306,0.493814249
5595000,13893022,154.8762597,103.3306406,2.087869475,73.21644138,0.071519213,0.189175734,0.498480787
5599490,13786642,52.07675324,65.30402487,1.556556592,43.26837855,0.101739212,0.17634742,0.538260788
6478522,11759050,3.983238752,10.71086833,0.574623297,8.911380712,0.196090094,0.397117698,0.393909906
6670500,17483383,68.85392063,31.05548274,1.148972371,24.04188649,0.172001089,0.654631559,0.377998911
6818000,2252949,18090.93992,248.8301992,4.452282041,103.1937755,0.120802037,0.261250665,0.389197963
6892513,3727673,0.307147181,4.112712993,0.308177367,3.792576898,0.224334987,0.264254126,0.425665013
6893300,4392793,0.115369401,2.852877497,0.242888044,2.819002095,0.216486712,0.237539943,0.403513288
6893350,4392993,0.085167982,2.547104171,0.225609545,2.858349632,0.234733063,0.279383052,0.435266937
7048600,8590894,6.123315458,15.75193201,0.827208313,8.230410636,0.23249074,0.250742583,0.42750926
7075270,11777215,0.702540679,8.123573731,0.426882637,5.621153943,0.213300387,0.200860068,0.436699613
7374000,19088319,21873.60151,496.5002263,20.29748761,12.67498614,0.404078096,7.760200614,0.105921904
7381600,15182073,7830.633729,597.8254509,14.52372645,469.3953816,0.028789029,0.234377043,0.491210971
8048000,1268410,46.18298079,25.66505662,1.426768667,15.9847845,0.183123006,0.511312071,0.396876994
8052745,1278616,0.649568563,5.911954219,0.367493277,5.798565993,0.198586536,0.352009862,0.441413464
8057000,942030011,112.0147226,34.82009895,1.891307646,16.72519881,0.177887359,0.391465864,0.382112641
8057410,1260375,115.3934667,35.17820641,1.909272033,15.68463508,0.187459965,0.336963577,0.402540035
8155500,5781711,1.871593399,8.510809485,0.514577664,8.015229259,0.214770329,0.450607397,0.475229671
8188060,3839167,63.93179121,28.70586839,1.582277163,15.50848636,0.192995498,0.418321154,0.417004502
8374550,291639,7432.634768,68.53620617,1.965453195,-9999,-9999,-9999,-9999
8375300,291801,8203.71547,70.47913418,2.004473802,-9999,-9999,-9999,-9999
8412500,3210721,1354.923282,42.32186587,1.400347537,35.82769306,0.196219667,0.968950366,0.433780333
8437710,3212475,2133.306318,48.1277985,1.532846008,69.16915893,0.140091673,4.098835195,0.379908327
8446500,3213331,2259.788751,48.91931147,1.550531217,67.29824516,0.143161781,3.671008154,0.386838219
8447000,332712,2650.229408,51.17793399,1.600536952,74.07083488,0.137073147,4.376269655,0.372926853
8447300,333056,2827.292921,52.12394841,1.621286114,55.00070973,0.145321411,1.862144459,0.374678589
9327000,4876845,1.337603087,9.057808606,0.436194622,7.956027766,0.211952197,0.346109178,0.378047803
11128500,17609015,3.820574825,21.35286238,0.984446594,15.69353398,0.219519884,0.561322791,0.400480116
11285500,17078299,10.0183132,30.40871106,1.292016922,14.12528033,0.204067439,0.352183654,0.345932561
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11337190,1889650,210.4856337,92.89373084,3.049520645,23.10942623,0.264174827,0.577968599,0.315825173
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11447890,15059765,326.2644297,109.09241,3.450762589,21.06487119,0.251280866,0.556787361,0.278719134
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11455315,15048187,1.903127133,16.53704713,0.808784692,13.18472924,0.243916162,0.524604437,0.466083838
11455350,948021229,22.98787047,41.23661185,1.633041908,18.34808266,0.232864987,0.439963166,0.377135013
11465240,8272227,0.937531491,12.75533177,0.662390375,8.230239126,0.197100625,0.276574554,0.392899375
12101100,8272227,0.937531491,12.75533177,0.662390375,8.230239126,0.197100625,0.276574554,0.392899375
12102075,23981667,0.115505516,6.218023609,0.372971937,6.283132918,0.211306661,0.381125648,0.438693339
13173600,23299878,468.8555349,152.547411,6.362977146,63.38210364,0.176704819,1.409165315,0.303295181
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14151000,23752598,1.345958187,19.22987417,0.862529368,11.96928343,0.167711511,0.268896722,0.412288489
14162500,23772909,8.082163209,43.84442651,1.590619344,23.23755252,0.132967675,0.227791322,0.407032325
14202650,23805136,0.067696957,4.863709851,0.310781941,5.175265553,0.251457144,0.352362201,0.508542856
3.85E+14,4392935,0.057097131,2.19370861,0.20470768,2.582007383,0.228699685,0.276388006,0.421300315
3.86E+14,4392905,0.065201215,2.30520556,0.211421321,2.648455509,0.224867071,0.273173667,0.415132929
3.86E+14,4392849,0.180603855,3.372759665,0.270850136,3.168556751,0.215370146,0.240862738,0.404629854
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
