site_name	site_database	site_num	long_name	lat	lon	coord_datum	alt	alt_datum	site_type	nhdplus_id	nhdplus_id_confidence	sciencebase_id
nwis_014670261	nwis	014670261	Delaware River nr Pennypack Woods, PA	40.0385	-74.9936111	NAD83	10	NGVD29	ST	4488286	MAYBE2	556f1fa8e4b0d9246a9fc7a1
nwis_01467029	nwis	01467029	Delaware River div at Delran NJ	40.0311111	-74.9922222	NAD83	15	NGVD29	FA-DV	4488292	MAYBE2	556f1f1ae4b0d9246a9fc5b9
nwis_01467042	nwis	01467042	Pennypack Creek at Pine Road, at Philadelphia, PA	40.08983289	-75.0690611	NAD83	80.41	NGVD29	ST	4489170	MOST_SURE	556f1fa9e4b0d9246a9fc7a5
nwis_01467048	nwis	01467048	Pennypack Cr at Lower Rhawn St Bdg, Phila., PA	40.05011137	-75.0326713	NAD83	21.27	NGVD29	ST	4489178	MOST_SURE	556f1faae4b0d9246a9fc7a9
nwis_01467086	nwis	01467086	Tacony Creek ab Adams Avenue, Philadelphia, PA	40.04650038	-75.11073008	NAD83	61.11	NGVD29	ST	4489180	MOST_SURE	556f1fabe4b0d9246a9fc7ad
nwis_01467087	nwis	01467087	Frankford Creek at Castor Ave, Philadelphia, PA	40.0159454	-75.0968411	NAD83	16.56	NGVD29	ST	4489096	MOST_SURE	556f292ee4b0d9246a9fceb0
nwis_01467200	nwis	01467200	Delaware R at Ben Franklin Bridge at Philadelphia	39.95400165	-75.1373987	NAD83	NA	NA	ST	4495952	MOST_SURE	556f292fe4b0d9246a9fceb4
nwis_01472104	nwis	01472104	Schuylkill River at Vincent Dam at Linfield, PA	40.20621166	-75.5654631	NAD83	NA	NA	ST	4782471	MOST_SURE	556f2930e4b0d9246a9fceb8
nwis_01473500	nwis	01473500	Schuylkill River at Norristown, PA	40.11121934	-75.3468502	NAD83	51	NGVD29	ST	4782501	MOST_SURE	556f1fb0e4b0d9246a9fc7bd
nwis_01473900	nwis	01473900	Wissahickon Creek at Fort Washington, PA	40.1239987	-75.2198992	NAD83	139.98	NGVD29	ST	4781731	MOST_SURE	556f2931e4b0d9246a9fcebc
nwis_01474000	nwis	01474000	Wissahickon Creek at Mouth, Philadelphia, PA	40.01539	-75.2068459	NAD83	26.41	NGVD29	ST	4782187	MOST_SURE	556f1fb2e4b0d9246a9fc7c5
nwis_01474500	nwis	01474500	Schuylkill River at Philadelphia, PA	39.9678905	-75.1885123	NAD83	5.74	NGVD29	ST	4784831	MOST_SURE	556f1fb3e4b0d9246a9fc7c9
nwis_01475530	nwis	01475530	Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA	39.97483455	-75.2799067	NAD83	121.76	NGVD29	ST	4495656	MOST_SURE	556f2933e4b0d9246a9fcec0
nwis_01475548	nwis	01475548	Cobbs Creek at Mt. Moriah Cemetery, Philadelphia	39.9327861	-75.2376361	NAD83	20	NGVD29	ST	4495680	MAYBE2	556f1fb5e4b0d9246a9fc7d1
nwis_01477050	nwis	01477050	Delaware River at Chester, PA	39.84555556	-75.3508333	NAD83	NA	NA	ST	4496300	MAYBE2	556f2934e4b0d9246a9fcec4
nwis_01480065	nwis	01480065	CHRISTINA RIVER AT NEWPORT, DE	39.71063889	-75.6087222	NAD83	0	NAVD88	ES	4652176	MAYBE2	556f286ee4b0d9246a9fcc50
nwis_01480617	nwis	01480617	West Branch Brandywine Creek at Modena, PA	39.9617734	-75.8013341	NAD83	262.52	NAVD88	ST	4650580	MOST_SURE	556f2935e4b0d9246a9fcec8
nwis_01480870	nwis	01480870	East Branch Brandywine Creek below Downingtown, PA	39.9687191	-75.6732715	NAD83	195	NGVD29	ST	4650548	MOST_SURE	556f2936e4b0d9246a9fcecc
nwis_01481000	nwis	01481000	Brandywine Creek at Chadds Ford, PA	39.8698328	-75.5932623	NAD83	150.45	NGVD29	ST	4652046	MOST_SURE	556f2937e4b0d9246a9fced0
nwis_01481500	nwis	01481500	BRANDYWINE CREEK AT WILMINGTON, DE	39.7695	-75.5766944	NAD83	67.17	NAVD88	ST	4655440	MOST_SURE	556f286fe4b0d9246a9fcc54
nwis_01482800	nwis	01482800	Delaware River at Reedy Island Jetty, DE	39.5009454	-75.5682589	NAD83	NA	NA	ES	24903566	MOST_SURE	556f1dcfe4b0d9246a9fc1b2
nwis_01483177	nwis	01483177	APPOQUINIMINK RIVER NEAR ODESSA, DE	39.46594444	-75.61352778	NAD83	0	NAVD88	ES	4653694	MAYBE2	556f1dd0e4b0d9246a9fc1b6
nwis_01484080	nwis	01484080	MURDERKILL RIVER AT FREDERICA, DE	39.0105	-75.4583056	NAD83	0	NAVD88	ES	8074904	MAYBE2	556f1dd1e4b0d9246a9fc1ba
nwis_01484085	nwis	01484085	MURDERKILL RIVER AT BOWERS, DE	39.05830556	-75.3976111	NAD83	0	NAVD88	ST-TS	8075804	MAYBE2	556f1dd2e4b0d9246a9fc1be
nwis_01484525	nwis	01484525	MILLSBORO POND OUTLET AT MILLSBORO, DE	38.59455556	-75.29102778	NAD83	1.19	NAVD88	ST	8407597	MAYBE2	556f1dd3e4b0d9246a9fc1c2
nwis_01484680	nwis	01484680	MASSEY DITCH AT MASSEY LANDING, DE	38.62494444	-75.0991944	NAD83	0	NGVD29	ES	8409355	MAYBE2	556f2872e4b0d9246a9fcc58
nwis_01487150	nwis	01487150	BUCKS BRANCH NEAR ATLANTA, DE	38.6914722	-75.63488889	NAD83	24.23	NAVD88	ST	8391556	MAYBE2	556f2873e4b0d9246a9fcc5c
nwis_01493112	nwis	01493112	CHESTERVILLE BRANCH NEAR CRUMPTON, MD	39.25705556	-75.94013889	NAD83	1.21	NAVD88	ST	4765418	MOST_SURE	556f28c0e4b0d9246a9fcd54
nwis_01540500	nwis	01540500	Susquehanna River at Danville, PA	40.95814218	-76.6191222	NAD83	431.29	NGVD29	ST	2604977	MOST_SURE	556f2938e4b0d9246a9fced4
nwis_01542500	nwis	01542500	WB Susquehanna River at Karthaus, PA	41.11755906	-78.108896	NAD83	830.59	NGVD29	ST	4672391	MOST_SURE	556f2939e4b0d9246a9fced8
nwis_01544500	nwis	01544500	Kettle Creek at Cross Fork, PA	41.4758994	-77.8258251	NAD83	1027.12	NGVD29	ST	8134650	MOST_SURE	556f1fbee4b0d9246a9fc7ed
nwis_01548303	nwis	01548303	Straight Run, Site 1, at Marsh Creek, PA	41.78479405	-77.4019232	NAD83	1220	NGVD29	ST	8143294	MOST_SURE	556f293be4b0d9246a9fcedc
nwis_01549700	nwis	01549700	Pine Creek bl L Pine Creek near Waterville, PA	41.273683	-77.32414028	NAD83	570.62	NGVD29	ST	8145248	MOST_SURE	556f293ce4b0d9246a9fcee0
nwis_01567000	nwis	01567000	Juniata River at Newport, PA	40.47841677	-77.1291484	NAD83	363.93	NGVD29	ST	4699925	MOST_SURE	556f1fc2e4b0d9246a9fc7f9
nwis_01570500	nwis	01570500	Susquehanna River at Harrisburg, PA	40.25481164	-76.8860846	NAD83	290.01	NGVD29	ST	4710000	MAYBE2	556f1fc3e4b0d9246a9fc7fd
nwis_01579550	nwis	01579550	SUSQUEHANNA RIVER NEAR DARLINGTON, MD	39.62605556	-76.15775	NAD83	9	NAVD88	ST	4731587	MAYBE2	556f1eace4b0d9246a9fc448
nwis_01608500	nwis	01608500	SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV	39.44703879	-78.6541817	NAD83	561.41	NAVD88	ST	8420360	MOST_SURE	556f2985e4b0d9246a9fcfc9
nwis_01611500	nwis	01611500	CACAPON RIVER NEAR GREAT CACAPON, WV	39.5823158	-78.3097312	NAD83	456.6	NAVD88	ST	8431736	MOST_SURE	556f2988e4b0d9246a9fcfce
nwis_01632900	nwis	01632900	SMITH CREEK NEAR NEW MARKET, VA	38.69345016	-78.6427935	NAD83	880.84	NAVD88	ST	8441303	MOST_SURE	556f2975e4b0d9246a9fcf95
nwis_01645704	nwis	01645704	DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA	38.88469518	-77.3324293	NAD83	296.4	NAVD88	ST	4509120	MOST_SURE	556f2055e4b0d9246a9fc9f7
nwis_01645762	nwis	01645762	S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA	38.90888916	-77.3382627	NAD83	275.16	NAVD88	ST	4509040	MOST_SURE	556f2976e4b0d9246a9fcf99
nwis_01646000	nwis	01646000	DIFFICULT RUN NEAR GREAT FALLS, VA	38.97594346	-77.24581439	NAD83	150.94	NAVD88	ST	4509202	MOST_SURE	556f2977e4b0d9246a9fcf9d
nwis_01646305	nwis	01646305	DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA	38.95977716	-77.1756743	NAD83	177.18	NAVD88	ST	4508904	MOST_SURE	556f2978e4b0d9246a9fcfa1
nwis_01646500	nwis	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	38.94977778	-77.12763889	NAD83	37.2	NAVD88	ST	4512772	MOST_SURE	556f28c2e4b0d9246a9fcd58
nwis_01648010	nwis	01648010	ROCK CREEK AT JOYCE RD WASHINGTON, DC	38.96016667	-77.0420556	NAD83	136.78	NAVD88	ST	22338431	MOST_SURE	556f2874e4b0d9246a9fcc60
nwis_01649190	nwis	01649190	PAINT BRANCH NEAR COLLEGE PARK, MD	39.03313889	-76.96427778	NAD83	150.57	NAVD88	ST	22336379	MOST_SURE	556f1eb0e4b0d9246a9fc451
nwis_01649500	nwis	01649500	NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD	38.96025	-76.9259722	NAD83	11.92	NAVD88	ST	22337975	MOST_SURE	556f1eb2e4b0d9246a9fc455
nwis_01650800	nwis	01650800	SLIGO CREEK NEAR TAKOMA PARK, MD	38.9862222	-77.0048611	NAD83	161.27	NAVD88	ST	22338427	MOST_SURE	556f28c3e4b0d9246a9fcd5c
nwis_0165389205	nwis	0165389205	ACCOTINK CREEK NEAR RANGER ROAD AT FAIRFAX, VA	38.86624167	-77.2863833	NAD83	295.61	NAVD88	ST	22338713	MAYBE2	56fedae8e4b0328dcb7e2c81
nwis_01654000	nwis	01654000	ACCOTINK CREEK NEAR ANNANDALE, VA	38.81289066	-77.2283158	NAD83	191.24	NGVD29	ST	22340331	MOST_SURE	556f2979e4b0d9246a9fcfa5
nwis_01654500	nwis	01654500	LONG BRANCH NEAR ANNANDALE, VA	38.8109462	-77.2349827	NAD83	190.64	NAVD88	ST	22340329	MOST_SURE	556f205be4b0d9246a9fca0c
nwis_01656903	nwis	01656903	FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA	38.8823899	-77.4319047	NAD83	256.8	NAVD88	ST	22338645	MOST_SURE	556f297be4b0d9246a9fcfa9
nwis_01658000	nwis	01658000	MATTAWOMAN CREEK NEAR POMONKEY, MD	38.59613889	-77.05602778	NAD83	39.76	NAVD88	ST	NA	NA	556f1eb5e4b0d9246a9fc45d
nwis_01668000	nwis	01668000	RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA	38.30846178	-77.52915268	NAD83	70	NGVD29	ST	NA	NA	587951c0e4b04df303d97eaf
nwis_0166818623	nwis	0166818623	MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA	38.1296111	-77.2321667	NAD83	36.78	NAVD88	ST	8476452	MAYBE2	556f297be4b0d9246a9fcfad
nwis_0166818985	nwis	0166818985	MILL CREEK BLW PEUMANSEND CREEK NR PORT ROYAL, VA	38.12894444	-77.2235	NAD83	31.55	NAVD88	ST	8476832	MAYBE2	556f205ee4b0d9246a9fca18
nwis_01673000	nwis	01673000	PAMUNKEY RIVER NEAR HANOVER, VA	37.76764189	-77.3322018	NAD83	13.88	NAVD88	ST	8506380	MOST_SURE	556f205fe4b0d9246a9fca1c
nwis_02035000	nwis	02035000	JAMES RIVER AT CARTERSVILLE, VA	37.67097957	-78.0858328	NAD83	163.9	NGVD29	ST	8575903	MOST_SURE	556f2060e4b0d9246a9fca20
nwis_02042222	nwis	02042222	JAMES RIVER ABV WEYANOKE POINT NR CHARLES CITY, VA	37.2923611	-77.0787222	NAD83	0	NAVD88	ST-TS	10067525	MAYBE2	556f297de4b0d9246a9fcfb1
nwis_0205551460	nwis	0205551460	LICK RUN ABOVE PATTON AVENUE AT ROANOKE, VA	37.27794444	-79.9375556	NAD83	914.84	NAVD88	ST	NA	NA	587951c5e4b04df303d97eb2
nwis_02079500	nwis	02079500	ROANOKE RIVER AT BUGGS ISLAND, VA	36.60319824	-78.2977743	NAD83	196.72	NGVD29	ST	12049360	MOST_SURE	556f2063e4b0d9246a9fca28
nwis_0208062765	nwis	0208062765	ROANOKE RIVER AT HALIFAX, NC	36.3311111	-77.58027778	NAD83	0	NGVD29	ST	10451300	MAYBE2	556f1f2ce4b0d9246a9fc5f5
nwis_02081022	nwis	02081022	ROANOKE RIVER NEAR OAK CITY, NC	36.0136111	-77.21527778	NAD83	0	NGVD29	ST	10451504	MOST_SURE	556f28f5e4b0d9246a9fce04
nwis_02081094	nwis	02081094	ROANOKE RIVER AT JAMESVILLE, NC	35.81305556	-76.89277778	NAD83	0	NGVD29	ST	10452322	MOST_SURE	556f1f2fe4b0d9246a9fc5fd
nwis_0208114150	nwis	0208114150	ROANOKE RIVER AT NC 45 NR WESTOVER, NC	35.915	-76.72277778	NAD83	0	NGVD29	ST	10455800	MOST_SURE	556f1f30e4b0d9246a9fc601
nwis_0208458892	nwis	0208458892	LAKE MATTAMUSKEET W OF NC HWY 94 NR FAIRFIELD, NC	35.5058333	-76.25388889	NAD83	-2	NAVD88	LK	3360042	MAYBE2	556f1f31e4b0d9246a9fc605
nwis_0208458893	nwis	0208458893	LAKE MATTAMUSKEET E OF NC HWY 94 NR FAIRFIELD, NC	35.50638889	-76.18388889	NAD83	-2	NAVD88	LK	3358276	MAYBE2	556f1f32e4b0d9246a9fc609
nwis_0209303205	nwis	0209303205	NEW RIVER BELOW HWY17 BRIDGE AT JACKSONVILLE, NC	34.74888889	-77.43777778	NAD83	0	NAVD88	ST	10519332	MOST_SURE	556f1f33e4b0d9246a9fc60d
nwis_02101726	nwis	02101726	ROCKY R AT US 64 NEAR SILER CITY, NC	35.73514055	-79.4230754	NAD83	482.9	NAVD88	ST	8869974	MAYBE2	556f1f34e4b0d9246a9fc611
nwis_02110400	nwis	02110400	BUCK CREEK NEAR LONGS, SC	33.953505	-78.71973988	NAD83	NA	NA	ST	9069012	MAYBE2	556f294ae4b0d9246a9fcf0c
nwis_02110500	nwis	02110500	WACCAMAW RIVER NEAR LONGS, SC	33.9126719	-78.7150175	NAD83	5.28	NGVD29	ST	9069040	MOST_SURE	556f294be4b0d9246a9fcf10
nwis_02110550	nwis	02110550	WACCAMAW RIVER ABOVE CONWAY, SC	33.8508333	-78.8972222	NAD83	NA	NA	ST-TS	9069104	MAYBE2	556f1fe5e4b0d9246a9fc875
nwis_02110701	nwis	02110701	CRABTREE SWAMP AT CONWAY, SC	33.86100349	-79.0411471	NAD83	10	NGVD29	ST	9071598	MAYBE2	556f1fe7e4b0d9246a9fc879
nwis_02110704	nwis	02110704	WACCAMAW RIVER AT CONWAY MARINA AT CONWAY, SC	33.8329481	-79.0436473	NAD83	-5.06	NGVD29	ST	9071958	MOST_SURE	556f294ce4b0d9246a9fcf14
nwis_02110777	nwis	02110777	AIW AT HIGHWAY 9 AT NIXONS CROSSROADS, SC	33.8515612	-78.6558483	NAD83	-11.72	NGVD29	ST	11562016	MOST_SURE	556f1fe9e4b0d9246a9fc881
nwis_02110802	nwis	02110802	WACCAMAW RIVER AT BUCKSPORT, SC	33.64905837	-79.09420639	NAD83	-14.36	NGVD29	ST	9071840	MOST_SURE	556f1feae4b0d9246a9fc885
nwis_02110815	nwis	02110815	WACCAMAW R NR HAGLEY LAND. NR PAWLEYS ISLAND, SC	33.44461245	-79.1739341	NAD83	-14.14	NGVD29	ST	9073938	MOST_SURE	556f294ee4b0d9246a9fcf18
nwis_0212378405	nwis	0212378405	PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC	35.20066667	-80.0618056	NAD83	197.45	NAVD88	ST	NA	NA	556f28f7e4b0d9246a9fce08
nwis_0212880025	nwis	0212880025	PEE DEE RIVER BELOW POWERHOUSE DAM NR PEE DEE, NC	34.9834833	-79.8775806	NAD83	119.99	NAVD88	ST	NA	NA	556f28f8e4b0d9246a9fce0c
nwis_02135000	nwis	02135000	LITTLE PEE DEE R. AT GALIVANTS FERRY, SC	34.05710829	-79.2469897	NAD83	23.95	NGVD29	ST	9114416	MOST_SURE	556f294fe4b0d9246a9fcf1c
nwis_02148315	nwis	02148315	WATEREE R. BL EASTOVER, SC	33.82848933	-80.6203645	NAD83	77.43	NGVD29	ST	9721817	MOST_SURE	556f1fede4b0d9246a9fc891
nwis_02156500	nwis	02156500	BROAD RIVER NEAR CARLISLE, SC	34.5951393	-81.4212089	NAD83	290.79	NGVD29	ST	9705130	MOST_SURE	556f1feee4b0d9246a9fc895
nwis_02160105	nwis	02160105	TYGER RIVER NEAR DELTA, SC	34.5354163	-81.548158	NAD83	300	NGVD29	ST	9698941	MOST_SURE	556f1fefe4b0d9246a9fc899
nwis_02160700	nwis	02160700	ENOREE RIVER AT WHITMIRE, SC	34.5093039	-81.5981594	NAD83	300	NGVD29	ST	9691190	MOST_SURE	556f1ff0e4b0d9246a9fc89d
nwis_02160991	nwis	02160991	BROAD RIVER NEAR JENKINSVILLE, SC	34.26070285	-81.3303747	NAD83	0	NGVD29	ST	9707918	MAYBE2	556f2950e4b0d9246a9fcf20
nwis_02162035	nwis	02162035	BROAD RIVER NEAR COLUMBIA, SC	34.0483333	-81.0733333	NAD83	-1	NAVD88	ST	9707984	MAYBE2	556f2952e4b0d9246a9fcf24
nwis_02167600	nwis	02167600	SALUDA R NEAR PROSPERITY, SC	34.09930647	-81.5684382	NAD83	350	NGVD29	ST	9869876	MAYBE2	556f2953e4b0d9246a9fcf28
nwis_02167716	nwis	02167716	LITTLE SALUDA R NEAR PROSPERITY, SC	34.0795843	-81.5617714	NAD83	350	NGVD29	ST	9869896	MAYBE2	556f1ff5e4b0d9246a9fc8ad
nwis_02168500	nwis	02168500	LAKE MURRAY NEAR COLUMBIA, SC	34.052093	-81.22065329	NAD83	-0.64	NGVD29	ST	9869878	MAYBE2	556f1ff6e4b0d9246a9fc8b1
nwis_02168504	nwis	02168504	SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC	34.0509822	-81.2095418	NAD83	170	NGVD29	ST	9869858	MAYBE2	556f2955e4b0d9246a9fcf2c
nwis_02169000	nwis	02169000	SALUDA RIVER NEAR COLUMBIA, SC	34.0140416	-81.0878717	NAD83	149.46	NGVD29	ST	9869898	MOST_SURE	556f2956e4b0d9246a9fcf30
nwis_02171637	nwis	02171637	Rediv. Intake Canal nr. St. Stephen, SC	33.41822284	-79.9447993	NAD83	NA	NA	FA-DV	166756763	MAYBE2	556f2957e4b0d9246a9fcf34
nwis_02171645	nwis	02171645	REDIV CANAL AT SANTEE RIVER NR ST STEPHEN, SC	33.4275	-79.915	NAD83	0	NGVD29	ST	9660548	MAYBE2	556f1ffae4b0d9246a9fc8c1
nwis_02172002	nwis	02172002	LAKE MOULTRIE TAILRACE CANAL AT MONCKS CORNER, SC	33.21516925	-79.9745248	NAD83	NA	NA	ST	NA	NA	587951cbe4b04df303d97eb5
nwis_02172050	nwis	02172050	COOPER R NR GOOSE CREEK, SC	33.05767134	-79.93619338	NAD83	-14.34	NGVD29	ES	9643573	MOST_SURE	556f2958e4b0d9246a9fcf38
nwis_021720677	nwis	021720677	COOPER RIVER @ FILBIN CREEK @ NORTH CHARLESTON, SC	32.89045228	-79.9628645	NAD83	0	NGVD29	ST	9645887	MOST_SURE	556f2959e4b0d9246a9fcf3c
nwis_021720698	nwis	021720698	WANDO RIVER ABOVE MT PLEASANT, SC	32.8590638	-79.8961963	NAD83	NA	NA	ES	9645947	MOST_SURE	556f1ffde4b0d9246a9fc8cd
nwis_021720709	nwis	021720709	COOPER RIVER AT U.S. HWY 17 AT CHARLESTON, SC	32.80239835	-79.9100869	NAD83	NA	NA	ST	9629843	MOST_SURE	556f1fffe4b0d9246a9fc8d1
