Theme Folder	Variable Theme Folder	Variable ScienceBase ID	Variable File_Name	ColnameUnits	MEAN/SUM Item	ACCUM_Item	GAGESII Variable Name
Accumulated Land Variables	Average 2010 Population Density	51fbee3fe4b04b00e3d891c0	Ac_popd10	MEAN=people km^-2;POPD10_AC=people km^-2	MEAN = 2010 population density in people per square kilometer per NHDPlus v2 catchment. 	AC_POPD10 = Accumulated mean population density un people per square kilometer down the NHDPlus network.	
Accumulated Land Variables	Average Percent Impervious Area 2006 (version 1)		AC_Impv06		MEAN = Mean Percent Impervious Area per NHDPlus version 2 catchment 	IMPV06_AC = Accumulated Mean Percent Impervious Area down the NHDPlus version 2 network. 	
Accumulated Land Variables	Hydrologic Landscape Regions		AC_HLR		N/A	"AC_HLRXX where XX is the HLR number, accumulated upstream areas in square meters for each HLR. "	
Accumulated Land Variables	Hydrologic Landscape Regions		HLR		"HLR_XX where XX is the HLR number, the area in square meters of an HLR for each NHDPlus catchment. "	N/A	
Accumulated Land Variables	NLCD 2001 (version 1) Land Use Classes		NLCD01		NLCD01_XX = square meters of each NLCD 2006 land use class per NHDPlus version 2 catchment; where XX is the NLCD land Use Class	N/A	
Accumulated Land Variables	NLCD 2006 (version 1) Land Use Classes		NLCD06		NLCD06_XX = square meters of each NLCD 2006 land use class per NHDPlus version 2 catchment; where XX is the NLCD land Use Class	N/A	
Accumulated Land Variables	NLCD 2011 (version 1) Land Use Classes	534c35d0e4b0af6611b1d0d0	AC_NLCD11	AC11_11=m^2;AC11_12=m^2;AC11_21=m^2;AC11_22=m^2;AC11_23=m^2;AC11_24=m^2;AC11_31=m^2;ACLU11_41=m^2;ACLU11_42=m^2;ACLU11_43=m^2;ACLU11_52=m^2;ACLU11_71=m^2;ACLU11_81=m^2;ACLU11_82=m^2;ACLU11_90=m^2;ACLU11_95=m^2;ACLU_AREA=m^2	NLCD11_XX = square meters of each NLCD 2006 land use class per NHDPlus version 2 catchment; where XX is the NLCD land Use Class	N/A	
Accumulated Land Variables	Percent Impervious Area (2006 version 1) in 100m Riparian Buffer		AC_Impv06_Buff100		Mean = Mean Percent impervious of the 100 meter riparian buffer per NHDPlus v2 catchment. 	AC_Impv06 = Accumulated Mean Percent impervious of the 100 meter riparian buffer down the NHDPlus v2 network.	
Accumulated Land Variables	Ecoregions Level 3		ECO3a		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3b		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3c		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3d		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3e		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3f		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		ECO3g		ECOXX where XX denotes Ecoregion and value is area in sqaure meters	N/A	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3a		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3b		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3c		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3d		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3e		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3f		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Ecoregions Level 3		AC_ECO3g		N/A	"AC_ECOXX where XX is the EcoRegion Level3 number,  upstream area in square in meters of EcoRegion level 3 xx "	
Accumulated Land Variables	Accumulated TIGER Road (2013) Density (km/km2)		Rds2013_sum		LENGTH = length of roads per NHDPlus v2 catchment in meters; CAT_Rds = density of roads per NHDPlus v2 catchment in km/km2 (LENGTH /AREASQKM ). 	AC_RDS2013 = Accumulated length of 2013 Cenus TIGER Roads for all catchments upstream of the NHDPlus v2 reach in kilometers;AC_RdDens = accumulated density of roads for all catchments upstream of the NHDPlus v2 reach in km/km2 (AC_RDS2013 /ACCUM_AREA ).	
Accumulated Soil Variables	Average bulk density from STATSGO		AC_BD		MEAN = mean bulk density per NHDPlus v2 catchment in grams per cubic centimeter	AC_BD = accumulated mean bulk density down the NHDPlus v2 network.	
Accumulated Soil Variables	"Average Clay, Silt and Silt from STATSGO"		"AC_CLAY, AC_SAND, AC_SILT"		"MEAN = Average value of clay, silt or sand  content in percent per NHDPlus v2 catchment;"	AC_CLAY = Accumulated Average value of clay content down the NHDPLus v2 stream network; AC_SAND = Accumulated Average value of sand content down the NHDPLus v2 stream network; AC_SILT = Accumulated Average value of silt content down the NHDPLus v2 stream network	
Accumulated Soil Variables	Average Kfactup value from STATSGO		AC_KFACTUP		MEAN = average KFactup value per NHDPlus v2 catchment;   The K-factor is used in the Universal Soil Loss Equation.	AC_KFACTUP = Accumulated mean value of KFactup down the NHDPlus v2 netwrok.	
Accumulated Soil Variables	Average Organic Material		AC_OM		MEAN = Mean percent of Organic Material (percent by weight) per NHDPlus version 2 catchment 	OM_AC = accumulated Mean percent of Organic Material down the NHDPlus version 2 network.	
Accumulated Soil Variables	Average Permeability from STATSGO		AC_Perm		MEAN = average permeability (inches/hour) per NHDPlus v2 cqatchment	AC_PERM = accumulated mean permeability down the NHDPlus v2 network.	
Accumulated Soil Variables	Average Rock Depth from STATSGO		AC_ROCKDEP		MEAN = Average estimated total soil thickness examined (inches) per NHDPlus v2 catchment;	AC_ROCKDEP = Accumulated mean estimated total soil thickness examined (inches) down the NHDPlus network	
Accumulated Soil Variables	Average Soil Restrictive Layer from SSURGO		"AC_SRL25, AC_SRL35, AC_SRL45, AC_SRL55"		"Mean = average estimated percent of Soil Restrivtive Layer in the upper 25, 35, 45, and 55 centimeters of agricultural land per NHDPlus v2 catchment"	AC_SRLXX = accumulated mean estimated percent of Soil Restrivtive Layer down the NHDPlus network; XX denoted centimeter depth.	
Accumulated Soil Variables	Average Soil Salinity from STATSGO		AC_SALINAVE		MEAN = average millimhos per centimeter for each NHDPlus v2 catchment; mmhos/cm which is a measure of electrical conductivity. 	AC_SALINAVE = accumulated average millimhos per centimeter. 	
Accumulated Soil Variables	Average Water Capacity from STATSGO		AC_AWC		MEAN = Mean average water capacity (inches of water per inches of soil depth) for NHDPlus v2 catachment;	AC_AWC = Accumulated mean average water capacity down the NHDPlus stream network.	
Accumulated Soil Variables	Average Water depth from STATSGO		HGA		MEAN = Average percentage of Hydrologic Group X per NHDPlus v2 catchment. 	AC_HGXX = Accumulated mean percentage of Hydrologic Group xX down the NHDPLus v2 stream network.	
Accumulated Soil Variables	Hydrologic Groups from STATSGO		"AC_HGD, AC_HGCD, AC_C, AC_HGBD, AC_HGBC, AC_HGB, AC_HGAD, AC_HGAC"		MEAN = Average percentage of Hydrologic Group X per NHDPlus v2 catchment. 	AC_HGXX = Accumulated mean percentage of Hydrologic Group xX down the NHDPLus v2 stream network.	
National Inventory of Dams 2009	AC_NID2009		"National Inventory of Dams (NID) 2009, Major Dams and Storage"		"MAJOR= the number of ""Major"" dams per NHDPlus version 2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet (National Atlas definition).  NID_STORAGE = Dam storage in acre feet per NHDPlus version 2 catchment. "	MAJOR_AC = Accumulated number of major dams down the NHDPlus version 2 network.; STORAGE_AC = Accumulated Dam storage in acre feet down the NHDPlus version 2 network.	
"NPDES 2006, Major Facilities"			AC_MAJ_NPDES06		FREQUENCY = Number of Major NPDES sites per NHDPlus v2 catchment.	"AC_NPDES = Accumulated number of Major NPDES sites for all upstream NHDPlus v2 catchments. 
NPDES_Dens = Accumulated density of NPDES (National Pollutant Discharge Elimination System) ""major"" point locations in watershed; number per 100 km sq for all upstream NHDPlus v2 catchments (calculated the same as the GAGESII item ""NPDES_MAJ_DENS"" per written communication, James Falcone."	
